NGC_#	Con	Type	RA_2000	Declination	Mag	Size	Hershel_#	Observation Notes
7000	CYG	BRTNB	20 58.8	#ERROR!	99.9	120'X100'	H V 37?	is the North America Nebula. This large area of nebulosity needs an RFT to be seen in its entirety. A dim glow can be seen in the area with the naked eye and 10 X 50 binoculars at a dark site will show the North America shape. In a 4 1/4" f/4 with a 20mm Erfle and a UHC filter, the nebula is very bright and very large, filling the 1.5 degree field with nebulosity. The brightest section is "Mexico" and the Pelican Nebula (IC 5067) can be seen nearby.
6905	DEL	PLNNB	20 22.4	#ERROR!	12	44"X38"	H IV 16	Bright, pretty large, elongated 1.5 X 1, central star easy at 100X. Moving up to 270X with a Barlow lens reveals that the east and west sides are brighter than the rest of the nebula. This planetary is pale green at all powers. I have heard NGC 6905 called the "Blue flash nebula" but I have never seen blue in this object.
6934	DEL	GLOCL	20 34.2	#ERROR!	8.9	2'	H I 103	Bright, pretty large, much compressed, round and has a brighter middle at 100X. It can be seen in the 11 X 80 finder or 10 X 50 binoculars. This is the type of object that responds with a much better view on a clear, transparent night. On a night I rated 6/10 for seeing and transparency, down on the floor on the desert near the Organ Pipe Cactus National Forest, I could only resolve 3 stars with a mottled core at 160X. At the same power on a beautiful night in the Red Rock country near Sedona at 5000 ft., this globular blazed with 40 stars resolved, 6 of them in the core area. This is the kind of observation to postpone until those rare 9/10 evenings when stars twinkle very little and the Milky Way blazes overhead.
7006	DEL	GLOCL	21 01.5	#ERROR!	10.6	2.8'	H I 52	Pretty bright, pretty small, round, very bright middle and very compressed at 100X. This very distant globular is one of the most mottled objects I have ever seen in the 13" at 180X. This extremely grainy globular has only shown me stars on its' face one time. Using my old 18" f/6 at 210X, I saw 3 stars superimposed on the surface of NGC 7006. One was held steady, the other two appeared and disappeared with the seeing. This was on a night I rated 8/10 for transparency and 7/10 for seeing.
5866	DRA	E6p	15 06.5	#ERROR!	11.1	6.5'X3.0'	H I 215	Bright, large, much elongated 3X2, much brighter middle at 165X. The dark lane has been easy on nights of good seeing and transparency. On mushy nights the dark lane is not seen at any power.
6543	DRA	PLNNB	17 58.6	#ERROR!	8.3	22"X16"	H IV 37	Bright, large, elongated 1.8 X 1. The central star can be seen at all powers, but is stellar only on the best of nights. Using 250X to 320X there is much detail within the planetary. Two brighter curved areas give the impression of spiral strucure. The very center of the nebulosity does not get near the central star, somewhat like M-42, where the nebulosity has been blown away from the central Trapezium.
3147	DRA	Sb	10 16.9	#ERROR!	11.3	4.7'X4.0'	H I 79	Pretty bright, pretty large, little elongated, with a much brighter core at 100X. It is just seen in the 11X80 finder. In moments of good seeing at 135X, it has a stellar core.
5982	DRA	E3p	15 38.6	#ERROR!	12.4	3.9'X2.1'	H II 764	Pretty bright, pretty small, little elongated 1.5 X 1 in PA 90 and much brighter in the middle at 135X.
5907	DRA	Sb+	15 15.9	#ERROR!	11.4	12.8'X1.8'	H II 759	Bright, large, very much elongated, bright middle at 100X. At 200X the core is gradually brighter with a stellar nucleus.
1084	ERI	Sc	02 45.9	-07 35	12	3'X2'	H I 64	Easily seen at 100X, pretty bright, elongated and somewhat mottled at 180X.
1407	ERI	EO	03 40.1	-18 34	12	2.5'X2.5'	H I 107	Pretty bright, round and much brighter in the middle at 100X. NGC 1400 and 1407 are surrounded by 10 fainter galaxies within 30 arc minutes.
1535	ERI	PLNNB	04 14.2	-12 44	10.4	20"X17"	H IV 26	Bright, pretty large, round, easy to spot at 100X. Going to 180X shows two concentric rings, one bright near the center, the other ring dimmer and larger that forms the outer edge of this planetary. The central star is easy at high power and the nebula is light blue at all powers.
2371	GEM	PLNNB	07 25.6	#ERROR!	13	74"X54"	H II 316	Bright, pretty large, box shaped at 100X. High power shows much structure. The southeast end in much brighter and the central star is seen at 220X. This planetary is grey in color at all powers.
2420	GEM	OPNCL	07 38.5	#ERROR!	8.3	10.0'	H VI 1	Pretty bright, pretty large, somewhat compressed, 30 stars at 135X. Several nice star chains on involved with an "oatmeal" backround of fainter stars.
2395	GEM	OPNCL	07 27.1	#ERROR!	8	12.0'	H VIII 11	Bright, pretty large, elongated 2 X 1, resolved at 100X, approximately 50 stars in a nice cluster.
2372	GEM	PLNNB	07 25.6	#ERROR!	13	74"X54"	H II 317	Bright, pretty large, box shaped at 100X. High power shows much structure. The southeast end in much brighter and the central star is seen at 220X. This planetary is grey in color at all powers.
2355	GEM	OPNCL	07 16.9	#ERROR!	9.7	9.0'	H VI 6	Pretty bright, pretty large, much compressed at 100X. Just seen in 11 X 80 finderscope. I counted 80 stars with a bright yellow star near the center of this cluster.
2304	GEM	OPNCL	06 55.0	#ERROR!	10	5.0'	H VI 2	Faint, pretty small, somewhat compressed, not much at 100X. I counted 11 stars in a 5 arcmin area, shaped like a comma or Corona Borealis cluster.
2266	GEM	OPNCL	06 43.2	#ERROR!	9.5	7.0'	H VI 21	Pretty bright, pretty small, rich, much compressed and resolved at 100X. I counted 50 stars at 135X.
2158	GEM	OPNCL	06 07.5	#ERROR!	8.6	5.0'	H VI 17	Pretty bright, pretty small, very compressed, arrowhead shape. I counted 12 stars and saw a very grainy backround at 165X on a night I rated 7/10.
2129	GEM	OPNCL	06 01.0	#ERROR!	6.7	7.0'	H VIII 26	Pretty bright, pretty small, not compressed, 22 stars counted at 100X, just seen in 11 X 80 finderscope.
2392	GEM	PLNNB	07 29.2	#ERROR!	8.6	47"X43"	H IV 45	Bright, large, round and somewhat annular at 100X. The central star is easy and this planetary is light green at all powers. The "Eskimo" features are seen at 220X and are somewhat better at 320X on a night I rated 8/10 for seeing and contrast.
6207	HER	Sc	16 43.1	#ERROR!	12.5	3.3'X1.2'	H II 701	pretty bright, pretty large, elongated 2x1, somewhat brighter in the middle at 100X.
6229	HER	GLOCL	16 47.0	#ERROR!	9.4	4.5'	H IV 50	Pretty bright, pretty large, round and brighter in the middle at 100X.
5694	HYA	GLOCL	14 39.6	-26 32	10.2	3.6'	H II 196	Pretty bright, pretty large, Round, brighter in the middle; 165X and 320X, very grainy, no resolution on a night I rated 5/10. At a much better site on an evening I rated 8/10 the 17.5" would show 6 stars superimposed on a hazy outer corona.
2548	HYA	OPNCL	08 13.8	-05 48	5.8	54.0'	H VI 22	M48? Somewhat scattered, Very Bright, can be seen naked eye, 12 stars are resolved in 8X50 finder, many chains of stars, little compressed, 7 *'s near center form an arch or boomerang shape. One * 9 mag orange at 60X.
2811	HYA	Sb	09 16.3	-16 18	13	2.7'	H II 502	pretty Bright, very Elongated, much brighter middle at 100X. faint * in following arm
3242	HYA	PLNNB	10 24.8	-18 38	8.6	40"X35"	H IV 27	Wow, Looks like CBS eye, greenish at all powers, Central star easy at 300X. Very bright, large, round. AT 650X on a night I rated 8/10 for seeing, there is a small, dark circular area around the central star. A very nice planetary with lots of internal detail at high power.
3621	HYA	GALXY	11 18.3	-32 49	9.9	10'X6.5'	H I 241	Bright, Large, elongated, much brighter in the middle, seen in finder and 10x50 binocs, nice
7296	LAC	OPNCL	22 28.2	#ERROR!	9.7	4.0'	H VII 41	Pretty bright, small and not compressed. I counted 18 stars at 200X. This group is fan-shaped and there is a nice yellow star at the apex of the fan.
7243	LAC	OPNCL	22 15.3	#ERROR!	6.4	21.0'	H VIII 75	Bright, large and not compressed at 100X. 29 stars were counted in this rather coarse cluster. A dark lane divides the cluster into 1/3 and 2/3 groups.
7209	LAC	OPNCL	22 05.2	#ERROR!	6.7	25.0'	H VII 53	Bright, large, rich, pretty compressed in a 15 arc minute area at 100X. I counted 59 stars, many in lovely chains that fade out into a Milky Way backround. There is a smooth progression of magnitudes from 9th to 12th within this cluster.
3686	LEO	GALXY	11 27.7	#ERROR!	11.6	3.1'X2.5'	H II 160	Pretty faint, pretty large, somewhat brighter in the middle, little elongated 1.5 X 1 in PA 0 at 135X. There is a similar galaxy in the field to the south.
3912	LEO	GALXY	11 50.1	#ERROR!	13.2	1.8'X1.0'	H II 342	Faint, pretty small, round, a little brighter in the middle, this galaxy is not much at 135X.
3810	LEO	GALXY	11 41.0	#ERROR!	11.4	4.1'X2.8'	H I 21	Pretty bright, pretty large, brighter in the middle, elongated 1.8 X 1 in PA 30 at 135X.
3655	LEO	GALXY	11 22.9	#ERROR!	11.6	1.6'X1.0'	H I 5	Pretty bright, small, little elongated 1.2 X 1 in PA 30, brighter in the middle, this galaxy is not much at 135X.
3640	LEO	GALXY	11 21.1	#ERROR!	11.8	4.5'X4.0'	H II 33	Pretty bright, pretty large, little elongated 1.5 X 1 in PA 90, much brighter in the middle at 135X. There is a very faint, small, round companion (NGC 3641) which can be seen with averted vision only.
3628	LEO	GALXY	11 20.3	#ERROR!	11.5	15.5'X4.3'	H V 8	Pretty bright, large, somewhat brighter in the middle, very much elongated in PA 90 with a hint of a dark lane at 165X.
3626	LEO	GALXY	11 20.1	#ERROR!	11.2	2.8'X2.0'	H II 52	Pretty bright, small, elongated 2.5 X 1 in PA 165, much brighter in the middle with an almost stellar nucleus at 135X.
3608	LEO	GALXY	11 17.0	#ERROR!	11.7	3.0'X2.5'	H II 51	Pretty bright, pretty large, round, bright middle at 100X. There are two companions in the 30 arc min field of view.
3607	LEO	GALXY	11 16.9	#ERROR!	10.2	4.5'X4.0'	H II 50	Pretty bright, pretty large, round, much brighter in the middle with a stellar nucleus, somewhat mottled at 135X. Located in a group of three.
3593	LEO	GALXY	11 14.6	#ERROR!	11.8	5.2'X2.1'	H I 29	is pretty bright, pretty large, elongated and has a much brighter middle. What is bizarre about this galaxy is that at 200X in the 12.5", the core is elongated 2X1. I don't remember seeing an elongated nucleus in a galaxy before.
3521	LEO	GALXY	11 05.8	-00 02	10.1	13.5'X7.0'	H I 13	Bright, Large, elongated 2.5 X 1 in PA 135 and brighter in the middle at 100X. Looks like a mini-Andromeda galaxy.
3190	LEO	Sb	10 18.1	#ERROR!	11.9	4.5'X1.7'	H II 44	Pretty bright, pretty large, much brighter middle, Elongated 2 X 1 in PA 135 at 135X. Extremely faint, small and round companion to the NW (NGC 3187).
3900	LEO	GALXY	11 49.2	#ERROR!	12.5	3.2'X1.6'	H I 82	Pretty faint, pretty large, little elongated 1.2 X 1 in PA 0, brighter middle, averted vision helps the contrast of this object quite a bit at 135X.
3489	LEO	GALXY	11 00.3	#ERROR!	10.9	3.2'X1.9'	H II 101	Pretty bright, pretty large, elongated 3 X 1 in PA 75, much brighter in the middle with a stellar nucleus at 135X, averted vision makes this galaxy grow in size.
2964	LEO	Sc	09 42.9	#ERROR!	12.5	3.5'X1.9'	H I 114	Pretty bright, pretty large, much brighter middle with an occaisonally stellar nucleus, elongated 1.5 X 1 in PA 90
3193	LEO	E0	10 18.4	#ERROR!	12.4	2.5'X2.5'	H II 45	Pretty bright, pretty small, round, much brighter middle with an occaisonally stellar nucleus, a 10th mag star is on the North side at 135X.
3226	LEO	GALXY	10 23.4	#ERROR!	13.3	2.5'X2.2'	H II 28	form a pair 50' east of Gamma Leo. 3227 is pretty bright, considerably elongated and has a pretty bright nucleus that is almost stellar. 3226 is pretty bright, round and has a bright core. These observations are with a 12.5" f/6 at 160X. What is weird about these two galaxies is that they appear to overlap each other even at high powers! The round galaxy is at one end of the elongated galaxy and it looks like a club with a knot at one end. Don't take my word for it, go look for yourself.
3227	LEO	Sa	10 23.5	#ERROR!	12.2	6.5'X4.5'	H II 29	form a pair 50' east of Gamma Leo. 3227 is pretty bright, considerably elongated and has a pretty bright nucleus that is almost stellar. 3226 is pretty bright, round and has a bright core. These observations are with a 12.5" f/6 at 160X. What is weird about these two galaxies is that they appear to overlap each other even at high powers! The round galaxy is at one end of the elongated galaxy and it looks like a club with a knot at one end. Don't take my word for it, go look for yourself.
3377	LEO	GALXY	10 47.7	#ERROR!	10.7	4.0'X2.5'	H II 99	Bright, pretty large, much brighter middle with a bright, stellar nucleus, elongated 1.5 X 1 in PA 30. This nice galaxy is a little mottled in the outer sections at 135X.
3379	LEO	E1	10 47.8	#ERROR!	9.6	3.8'X3.8'	H I 17	(M-105) Bright, large, little elongated, very bright middle, stellar nucleus, two companions in the field at 100X.
3384	LEO	E7	10 48.3	#ERROR!	10	5.4'X2.8'	H I 18	Pretty faint, large, somewhat elongated and not much brighter in the middle, rather mushy at 100X.
3412	LEO	GALXY	10 50.9	#ERROR!	10.8	3.3'X1.9'	H I 27	Bright, pretty large, elongated 2.5 X 1 in PA 135, very bright in the middle with stellar nucleus at 135X. This galaxy is somewhat mottled.
2903	LEO	Sb	09 32.2	#ERROR!	10	13.3'X6.0'	H I 56	is one of the best non-Messier galaxies. It is easy in 10x50 binocs or a large finder scope. At 175X in the 12.5" f/6 this galaxy is bright and is mottled across the face with a much brighter core. There is a bright spot about 4 arc minutes from the core.
1964	LEP	Sb	05 33.3	-21 57	11.5		H IV 21	Pretty bright, Small, somewhat elongated and brighter in the middle at 100X. There is a pretty bright star involved near the core on the SW side.
5897	LIB	GLOCL	15 17.4	-21 01	8.6	12.6'	H VI 19	Pretty faint, large, gradually brighter in the middle and rich at 135X. I counted 22 stars resolved on a night I rated 6/10 for seeing and transparency. There is certainly not the usual "blazing core" to this globular.
3245	LMI	GALXY	10 27.3	#ERROR!	11.6	2.9'X1.9'	H I 86	Pretty bright, pretty large, much brighter in the middle with a bright nucleus, elongated 2 X 1 in PA 165, there is a faint companion to the north at 100X.
3414	LMI	GALXY	10 51.3	#ERROR!	12.1	3.0'X2.6'	H II 362	Pretty bright, pretty large, much brighter in the middle and little elongated 1.2 X 1 in PA 45. The companion galaxy was not seen on a night I rated 6/10.
3504	LMI	GALXY	11 03.2	#ERROR!	11.5	2.5'X2.5'	H I 88	Pretty bright, pretty large, elongated 2 X 1 in PA 165, bright middle with a stellar core and mottled at 135X.
3486	LMI	GALXY	11 00.4	#ERROR!	11.2	7.2'X5.1'	H I 87	Pretty bright, pretty large, little elongated 1.2 X 1 in PA 75 and much brighter in the middle with an occasional stellar nucleus at 135X on a night I rated 6/10.
3432	LMI	GALXY	10 52.5	#ERROR!	11.7	7.5'X2.0'	H I 172	Pretty bright, pretty large, much elongated 3 X 1 in PA 45, mottled and there is a double star on the SW edge at 135X.
3395	LMI	GALXY	10 49.8	#ERROR!	12.1	1.8'X1.0'	H I 116	Pretty bright, pretty large, elongated 2.5 X 1 in PA 45, it is much brighter in the middle with a stellar nucleus at 135X.
3344	LMI	GALXY	10 43.5	#ERROR!	11.1	7.5'X7.0'	H I 81	Bright, pretty large, round, brighter in the middle with a stellar nucleus and somewhat mottled at 135X. There are three stars involved with this galaxy.
3277	LMI	GALXY	10 32.9	#ERROR!	12.3	2.4'X2.2'	H II 359	Pretty faint, pretty small, little elongated 1.2 X 1 in PA 75, somewhat brighter in the middle at 100X. There is a companion in the field; it is very faint, small and round.
2859	LMI	SBa	09 24.3	#ERROR!	12	4.5'X4.0'	H I 137	Pretty bright, pretty large, much brighter in the middle, little elongated 1.5 X 1 in PA 110 at 135X.
3294	LMI	GALXY	10 36.3	#ERROR!	11.5	3.8'X1.8'	H I 164	Pretty bright, pretty large, much elongated 3 X 1 in PA 135 and much brighter in the middle.
2419	LYN	GLOCL	07 38.1	#ERROR!	10.4	4.1'	H I 218	pretty bright, pretty large, round and much brighter in the middle, it is easy at 100X. At any power up to 270X at the best sights in Arizona there is no resolution in either my 13" or my old 17.5". The best I can do is get three levels of condendsation across a very mottled face on the best of nights. The brightest stars are something like 19th magnitude, so it may take a 40 inch to resolve this distant cluster. I will send in a description once A.J. and I get our one meter up and working.
2683	LYN	Sb	08 52.7	#ERROR!	11	9.2'X2.6'	H I 200	bright, pretty large, much elongated east-west and much brighter in the middle at 100X.
2782	LYN	Sb	09 14.1	#ERROR!	12.5	4.2'X3.2'	H I 167	Pretty faint, pretty small, round, much brighter in the middle with a bright nucleus at 100X.
2251	MON	OPNCL	06 34.7	#ERROR!	7.3	10.0'	H VIII 3	is bright, pretty large, elongated and contains about 40 stars in a very nice Milky Way field. It is pretty rich and not compressed at 100X.
2185	MON	BRTNB	06 11.1	-06 12	99.9	3.0'	H IV 20	2170 and 2182 are several "little green boxes" on the Tirion Atlas near Beta Mon. Even at a very dark site on a night I rated 7/10 for seeing and transparency there is not much here. At 100X in the 13" there are several fuzzy stars in a field that is noticably void of stars compared to the nearby Milky Way. On an excellant night I rated 9/10 it is Pretty faint, small, round and has an 11th mag star involved.
2215	MON	OPNCL	06 21.0	-07 17	8.4	11.0'	H VII 20	is bright, large, pretty rich, round and not compressed at 100X. It was seen in the 10X50 binoculars.
2232	MON	OPNCL	06 26.6	-04 45	3.9	30.0'	H VIII 25	Bright, very large, not compressed, not rich, scattered group of 22 stars including 10 MON. This is even a scattered cluster in the 11 X 80 finder.
2264	MON	CL+NB	06 41.1	#ERROR!	3.9	20.0'	H V 27=H VIII 5	is a brighter naked eye spot in the Milky Way that marks the location of this large, bright and not compressed star cluster. Because of the shape of the brighter stars, this is called the Xmas tree cluster and includes the variable S Mon within the tree shape. Binoculars or finder will show the tree outline with ease. The cluster is involved in a faint nebulosity that is brightest near S Mon and on the north side of the cluster. With the 38mm Erfle and the UHC filter the nebula extends for 2 degrees around the star cluster. At 100X with the UHC a dark lane can be seen in the nebula, this is the Cone Nebula. There are very few faint stars in this region a measure of the amount of dark nebulosity that permeates this entire region.
2353	MON	OPNCL	07 14.6	-10 18	7.1	20.0'	H VIII 34	is pretty bright, pretty large, pretty rich and not compressed. It is a nice cluster at 135X, with about 50 members. The UHC filter will just barely show a very faint streamer of nebulosity on the south side. Rocking the scope helps to make the nebula more noticeable.
2506	MON	OPNCL	08 00.2	-10 47	7.6	7.0'	H VI 37	is bright, pretty large, compressed and rich at 100X. It has about 40 members that are obvious and a hazy backround, even at higher powers.
2343	MON	OPNCL	07 08.3	-10 39	6.7	7.0'	H VIII 33	Pretty bright, small, not rich, not compressed, 23 stars counted at 100X. A nice Yellow and Blue double star in on the Eastern edge of the cluster, it has a seperation of approximately 10 arcsec and a PA of about 315 degrees.
2335	MON	OPNCL	07 06.6	-10 05	7.2	12.0'	H VIII 32	is pretty faint, pretty large and not compressed. It has about 15 members at 100X.
2324	MON	OPNCL	07 04.2	#ERROR!	8.4	8.0'	H VII 38	Bright, large, rich, compressed, 55 stars counted at 135X. This sparkling cluster has a nice backround of dim members.
2311	MON	OPNCL	06 57.8	-04 35	9.6	7.0'	H VIII 60	Pretty bright, pretty small, not rich, 22 stars counted at 165X. This cluster has a rather triangular shape.
2301	MON	OPNCL	06 51.8	#ERROR!	6	12.0'	H VI 27	has been a favorite of mine for many years. This open cluster is bright, large and pretty rich with about 40 members. It is easy to pick out in the finder scope. The aspect of this cluster which makes me return each winter is a lovely blue and gold double star right in the center. There is a clear area around the double star. If you have missed this beautiful cluster, put it on your list.
2286	MON	OPNCL	06 47.6	-03 10	7.5	15.0'	H VIII 31	Pretty bright, large, rich, somewhat compressed, 52 stars counted with lots of faint members at 135X. There several lovely dark lanes winding through this cluster.
2244	MON	CL+NB	06 32.4	#ERROR!	4.8	24.0'	H VII 2	is the star cluster involved in the Rosette. In the 13" at 60X it consists of 2 parallel lines of about 15 stars. It is very bright, very large and not compressed. Several of the stars are yellow and one is a lovely orange.
6293	OPH	GLOCL	17 10.2	-26 35	8.2	7.9'	H VI 12	is a pretty small, pretty bright globular. It is resolved at 135X. It has a bright middle and is round. NGC 6293 is located just north of B 59, the stem of the Pipe Nebula, therefore there are several dark lanes leading out of the field into the Milky Way.
6355	OPH	GLOCL	17 24.0	-26 21	9.6	5.0'	H I 46	Pretty faint, pretty large, round, somewhat brighter in the middle with 3 stars resolved at 165X.
6633	OPH	OPNCL	18 27.7	#ERROR!	4.6	27.0'	H VIII 72	15 stars of 9 to 10 mag in a 20' area with another 30 to 35 stars of 11 mag and down forming a lovely starry backround. Nice cluster at 100X. There is a 7th mag star on the south side.
6517	OPH	GLOCL	18 01.8	-08 58	10.3	4.3'	H II 199	Pretty faint, pretty large, brighter middle, no resolution at any power, this cluster is elongated in a PA of 45 degrees. It is located in a very star poor and dark field.
6426	OPH	GLOCL	17 43.7	#ERROR!	11.2	3.2'	H II 587	Faint, pretty large, elongated 1.2 X 1 in PA 25, very grainy at 135X. Using higher power in good seeing I could spot 4 or 5 stars on the face of this low surface brightness globular.
6401	OPH	GLOCL	17 38.6	-23 55	9.5	5.6'	H I 44	Pretty bright, pretty small, little brighter in the middle and very grainy at 135X. There are two stars resolved with averted vision and good seeing.
6369	OPH	PLNNB	17 29.3	-23 46	11	30"X29"	H IV 11	is a very nice planetary. It can be spotted in an eight incher at 100X, but large scopes work well on this object. The 18" at 175X will show a central dark spot and at 300X this object starts to look somewhat like the Ring Nebula. This annulus effect could be seen in a 13" at 200X on the same night.
6356	OPH	GLOCL	17 23.6	-17 49	8.4	7.2'	H I 48	Bright, pretty large, much brighter in the middle and has a very grainy texture with 3 or 4 stars resolved at 165X.
6342	OPH	GLOCL	17 21.2	-19 35	9.9	3.0'	H I 149	Pretty bright, small, round, bright nucleus with 2 stars resolved at 165X, one is an 11th mag star on the SW edge.
6304	OPH	GLOCL	17 14.5	-29 28	8.4	6.8'	H I 147	Pretty bright, Pretty small, round, brighter in the middle and well resolved at 135X.
6287	OPH	GLOCL	17 05.2	-22 42	9.2	5.1'	H II 195	Pretty faint, small, round, not resolved at any power to 220X, this globular has a bright middle but it is not much otherwise.
6284	OPH	GLOCL	17 04.5	-24 46	9	5.6'	H VI 11	Pretty bright, pretty small, round, resolved at the edges at 135X, higher power does not seem to help.
6235	OPH	GLOCL	16 53.4	-22 11	10.2	5.0'	H II 584	Bright, pretty large, irregularly round, this nice globular is easily resolved and somewhat brighter in the middle at 165X.
6171	OPH	GLOCL	16 32.5	-13 03	8.1	10.0'	H VI 40	Pretty bright, pretty large, compressed, round, resolved at 100X, 165X helps some, approximately 20 stars resolved.
6316	OPH	GLOCL	17 16.6	-28 08	9	4.9'	H I 45	Pretty bright, pretty large, somewhat elongated, much brighter in the middle and resolved at the edges at 135X.
2169	ORI	OPNCL	06 08.4	#ERROR!	5.9	7.0'	H VIII 24	is a pretty bright, not compressed open cluster in the 17.5 inch at 100X. What is bizarre is that the cluster members form the numerals "3" and "7". It is a shame that this is not M37, you couldn't miss it.
1999	ORI	BRTNB	05 36.5	-06 43	99.9	16'X12'	H IV 33	Pretty bright, pretty large, round, somewhat brighter in the middle, surrounding a star. There are several dark markings in the nebula at 135X. Averted vision enlarges the nebula and the north side is brightest.
2194	ORI	OPNCL	06 13.8	#ERROR!	8.5	10.0'	H VI 5	is a bright, pretty rich, compressed open cluster that is well resolved in the 17.5" at 100X. The cluster has a flattened shape.
2186	ORI	OPNCL	06 12.2	#ERROR!	8.7	4.0'	H VII 25	Pretty bright, pretty small, pretty rich, compressed, stars of mags 10 to 13, 27 stars counted at 165X. There are several delicate pairs in this cluster.
2022	ORI	PLNNB	05 42.1	#ERROR!	12.8	28"X27"	H IV 34	is a pretty small, not very bright planetary. It can be noticed in the 17.5" at 50X. At 200X, it is a greenish dot with no internal detail.
1788	ORI	BRTNB	05 06.9	-03 20	99.9	8'X5'	H V 32	is pretty faint, pretty large and irregular in the 17.5" at 100X. It looks like a paint splatter with a pretty bright star at one edge.
1980	ORI	CL+NB	05 35.2	-05 55	2.5	14'X14'	H V 31	If you are like me, the first time you looked at NGC 1980, you didn't know that you were looking at an object that has a seperate designation from the Great Orion Nebula. NGC 1980 is the faint nebulosity that involves Iota Orionis, the end star of the sword of Orion. I wish I has a nickel for every time that Iota Ori has been used as a guide star!
2024	ORI	BRTNB	05 42.0	-01 50	99.9	30'X30'	H V 28	is a bright, large emmision nebula near Zeta Ori. It is easy in any telescope I have ever used under dark skies and my old 8" f/6 would show several dark lanes winding across this nebulosity. The 17.5 incher helps a lot and much detail can be seen in the region at 200X. The UHC helps a lot and so does getting Zeta out of the field. Because of the large, parallel dark lanes, Arizona astronomers have taken to calling NGC 2024 the "Tank Track" Nebula.
7217	PEG	GALXY	22 07.9	#ERROR!	11	3.8'X3.3'	H II 207	Pretty bright, pretty large, elongated, very bright in the middle at 100X. On a good night it has a mottled halo surrounding the bright core.
7331	PEG	GALXY	22 37.1	#ERROR!	10.4	11.4'X4.0'	H I 53	Bright, large, very elongated, much brighter in the middle with a stellar nucleus at 135X. It is an elongated shape even in the 11 X 80 finder. It is surrounded by companion galaxies.
7448	PEG	GALXY	23 00.0	#ERROR!	12	2.7'X1.1'	H II 251	Pretty bright, pretty large, elongated 2 X 1 and has a bright middle at 135X.
7479	PEG	SBb	23 04.9	#ERROR!	11.7	4.4'X3.4'	H I 55	Pretty bright, large, elongated, bright middle at 165X. The central bar structure is seen on a sharp evening, averted vision makes the galaxy grow in size.
1245	PER	OPNCL	03 14.7	#ERROR!	8.4	10'	H VI 25	is a bright, large and much compressed open cluster. In the 13" at 165X I counted 82 members, many in nice chains of stars that form curved lines. This cluster takes high power well.
1545	PER	OPNCL	04 20.9	#ERROR!	6.2	18.0'	H VIII 85	Pretty bright, pretty poor, not compressed cluster at 100X. 21* counted, two pretty bright yellow members and several dim members.
1528	PER	OPNCL	04 15.4	#ERROR!	6.4	24.0'	H VII 61	Bright, large, rich and somewhat compressed cluster. 55* counted at 100X, many in lovely chains. Several dark lanes wind their way through the cluster. It almost fills the field of view. This object is easy in the 11X80 finder. This very nice cluster could have been a Messier object if he had only swept this area.
1513	PER	OPNCL	04 10.0	#ERROR!	8.4	9.0'	H VII 60	Pretty bright, pretty large, rich and somewhat compressed at 100X. 34* counted, including a nice arc of pretty bright stars on the North side. The bizarre thing about this cluster is that it is shaped like a horseshoe. Wouldn't it be fun to fly out there and see if that is the true shape of this cluster?
1342	PER	OPNCL	03 31.6	#ERROR!	6.7	14.0'	H VIII 88	is a bright, large and somewhat scattered open cluster in the 13" at 100X. There are about 40* in the group and a dark lane in the Milky Way near the cluster.
1023	PER	E7p	02 40.5	#ERROR!	11	9'X4'	H I 156	Pretty bright, large, much elongated, bright middle at 135X. Raising the power to 200X brings out a small tuft on the Eastern tip of this galaxy.
884	PER	OPNCL	02 22.4	#ERROR!	4.4	30.0'	H VI 34	and NGC 869 the Double Cluster is naked eye as a bright spot in the Winter Milky Way from even a somewhat light polluted site. Hipparchus and Ptolemy both mention it in ancient texts. These two clusters are both large, bright, rich and somewhat compressed. The fact that they are both within a 1 degree field of view is fascinating. Using a 38mm Erfle eyepiece which gives about 60X in the 13", I counted 102* in one quadrant of the field of view for a total of at least 400* in the field. The view in the 11X80 finder is spectacular with several orange giant stars sprinkling the clusters, including one almost exactly between the two clusters. There are also several beautiful chains of stars curving into the Milky Way from within this cluster pair.
869	PER	OPNCL	02 19.0	#ERROR!	4.3	30.0'	H VI 33	and NGC 884 the Double Cluster is naked eye as a bright spot in the Winter Milky Way from even a somewhat light polluted site. Hipparchus and Ptolemy both mention it in ancient texts. These two clusters are both large, bright, rich and somewhat compressed. The fact that they are both within a 1 degree field of view is fascinating. Using a 38mm Erfle eyepiece which gives about 60X in the 13", I counted 102* in one quadrant of the field of view for a total of at least 400* in the field. The view in the 11X80 finder is spectacular with several orange giant stars sprinkling the clusters, including one almost exactly between the two clusters. There are also several beautiful chains of stars curving into the Milky Way from within this cluster pair.
