Nr,NGC/IC,Name,Type,Const,RA Hr,RA Min,Dec Deg,Dec Min,Magnitude,Size,GC Conc or Class,# Stars,Min Aperture,Herschel 400,Description
154,6441,,gc,SCO,17,50.2,s37,3,7.2,8',III,,"2.4 in, 25X",,"Sm., brt, highly concentrated gc. Nearly hidden behind 4th magn. g Sco. Nice fld."
155,6445,,pn,SGR,17,49.2,s20,1,10,3.1'x1',,,"3 in, 20X",,"Fine, brt, oval pn is like a sm. M-27. Much detail in 12 in. Gc NGC-6440 in same fld."
156,6503,,eg,DRA,17,49.4,n70,9,10.2,6.2'x2.3,Scd,,3 in. 20X,,"Bright, elongated egn has a bright, mottled, off center core, but no nucleus. (12 in.)"
157,6520,,oc,SGR,18,3.4,s27,54,7.6,5',,60,"2.4 in, 20X",Y,"Small, bright oc lies in the Sgr star cloud adjacent to dark nebula B86."
158,6522,,gc,SGR,18,3.6,s30,2,8.4,5.6',VI,,"2.4 in, 20X",,"Sm., brt, gc. In same LP fld w/ fnter gc NGC-6528. Both lie in Baade's Window."
159,B86,,dn,SGR,18,2.7,s27,50,,4'x3',,,3 in?,,"WOW! Sm., irr. dn looks like a hole in the Milky Way! NGC-6520 lies just to east."
160,6541,,gc,CRA,18,8,s43,42,6.6,13',III,,7x50mm,,"Wow! Lg., brt, rich gc has a sharply brter core. Some resolution w/ 6 in. Beautiful fld."
161,6543,The Cat's Eye Planetary,pn,DRA,17,58.6,n66,38,8.8,18,,,"2.4 in, 30X",,"V. bright, small, bl-grn pn is shaped like a cat's eye pupil! (10 in.) Use HiX."
162,6553,,gc,SGR,18,9.3,s25,54,8.2,8',XI,,"3 in, 15X",Y,"Fairly lg., diffuse gc has an irregular oval or fan shape. No resolution in a 10 in."
163,B92,,dn,SGR,18,15.5,s18,11,,15',,,3 in?,,Sm. elongated dark hole; lies on the NW edge of the M-24 star cloud. Amazing!
164,6572,The Emerald,pn,OPH,18,12.1,n06,51,9,8',,,"2.4 in, 40X",,"Remarkable pn! Small, v. brt, intense green disk has sm. blue star in center. (10 in.)"
165,6624,,gc,SGR,18,23.7,s30,22,8.3,6',VI,,2.4 in. 15X,,"Small, fairly bright gc has strong core. Stands out well against rich Milky Way."
166,6633,,oc,OPH,18,27.7,n06,34,4.6,27',,159,7x50mm,,"Wow! Lg., rich oc has irr. wedge shape & brt stars. Easily resolved in sm. scopes."
167,6645,,oc,SGR,18,32.6,s16,54,8.5,10',,40,"2.4 in,15X",Y,"Nice! Large, brt, rich, compressed oc of faint stars. Has several star poor holes."
168,6652,,gc,SGR,18,35.8,s32,59,8.8,3.5',VI,,"2.4 in, 15X",,"Nice gc w/ unique football shape. Has an intense core, well resolved in a 10 in."
169,IC4756,,oc,SER,18,39,n05,27,4.6,40',,466,7x50mm,,"V. fine, large, naked eye oc of 7th magn. & fnter stars. Impressive in binoculars."
170,6723,,gc,SGR,18,59.6,s36,38,6.9,11',VII,,7x50mm,,"Beautiful lg., brt, rich gc is broadly condensed. Some resolution in 6 in. scope."
171,6726;6727,,gn,CRA,19,1.9,s36,57,,8'x8',,,4 inch,,"A reflection nebulae complex lit by variables R, T, & TY CRA w/ associated dn!"
172,6781,Ghost of the Moon Nebula,pn,AQL,19,18.4,n06,33,10.5,1.9'x1.8,,,"3 in, 20X",Y,"Lg., diffuse, circular pn has fnter center & N edge. V. ghostly! Try UHC or O III filter."
173,Col 399,The Coathanger,oc,VUL,19,25.4,n20,11,3.6,60',,10,7x50mm,,A curious coathanger shaped asterism or v. poor oc! Large: use binoculars.
174,6802,,oc,VUL,19,30.6,n20,16,8.8,5',,201,"3 in, 20X",Y,"Nice oc. A rich, elongated cloud of faint stars. Lies near Col 399."
175,6818,,pn,SGR,19,44,s14,9,9.3,22x15,,,"3 in, 20x",Y,"Beautiful pn! Bright, bluish colored, circular, seems dark in center. (8 in.)"
176,6822,Barnard's Galaxy,eg,SGR,19,44.9,s14,48,9.3,10'x9.5',I,,10x50mm,Y,"Large, elongated, LSB egn is member of Local Grp. Impressive in large scopes!"
177,6826,The Blinking Planetary,pn,CYG,19,44.8,n50,31,8.8,27x24,,,"2.4 in, 15X",Y,WOW! Brt bl-grn disk seen w/ averted vision; central star w/ direct vision: blinks!!!
178,6888,The Crescent Nebula,?pn,CYG,20,12,n38,21,,20'x10',,,4 inch,,"Wow! A lg., fnt, narrow, incomplete egg-shaped ring set in a rich fld! Try O III filter."
179,6934,,gc,DEL,20,34.2,n07,24,8.7,6',XIII,,"2.4 in, 15X",Y,"Fine gc. Med. large, fairly bright, well condensed. Well resolved in 10 in."
180,6939,,oc,CEP,20,31.4,n60,38,7.8,8',,301,"2.4 in, 15X",Y,"Rich, fine oc of fnt stars w/ NGC-6946 in same LP fld! Triangular w/ dark area within."
181,6940,,oc,VUL,20,34.6,n28,18,6.3,25',,170,10x50mm,Y,"Lovely oc. Lg., rich, football shaped, well resolved. Has lots of oval star patterns!"
182,6946,,eg,CYG,20,34.8,n60,9,8.8,11'x10',Scd,,"2.4 in, 15X",Y,"Wow! Lg., diffuse, oval shaped egn w/ sm. fuzzy hub. Spiral arms easy in 10 inch."
183,6960;6992,The Veil Nebula,snr,CYG,20,45.7,n30,43,,see Tirion,,,10x50mm,,"WOW! Exquisite snr w/ lots of detail, esp. w/ O III filter. Eastern arc (-6992) is brter."
184,7000,The North America Nebula,gn,CYG,20,58.8,n44,20,,100'x60',,,7x50mm,,"Huge, fairly fnt H II nebula: use naked eye or v. LP fld! O III filter really helps here."
185,7008,,pn,CYG,21,0.6,n54,33,10,98x75,,,"4 in, 50X",,"Exquisite pn rich in detail! Seen as an incomplete, patchy, oval ring in lg. scopes."
186,7009,The Saturn Nebula,pn,AQR,21,4.2,s11,22,8,44x23,,,"2.4 in, 15X",Y,WOW! Sm. intense bl-grn oval pn shows Saturn features in lg. scopes! Beautiful!
187,7129,,gn + oc,CEP,21,41.3,n66,6,,7'x7',,10,4 inch,,Bright gn surrounds a small sparse oc of fairly bright stars. (10 in.) Very pretty.
188,IC5146,The Cocoon Nebula,gn + oc,CYG,21,53.4,n47,16,,10'x10',,110,4 inch,,"Circular, hazy gn lies at the end of a large, riftlike dn. Use v. LP + wide fld, & scan."
189,7209,,oc,LAC,22,5.2,n46,30,7.7,25',,98,"2.4 in, 15X",Y,"Nice oc seen best in 12x50 mm finder. Large, brt, smooth aggregate of faint stars."
190,7243,,oc,LAC,22,15.3,n49,53,6.4,21',,38,10x50mm,Y,"Lacerta's best oc. Big, bright, splashy; has a wide double star at center. (10 in.)"
191,7293,The Helix Nebula,pn,AQR,22,29.6,s20,48,7.3,12'x10',,,10x50mm,,"WOW! Huge, LSB pn; round disc in 10x50mm; donut shape revealed in lg. scopes."
192,7331,,eg,PEG,22,37.1,n34,25,9.5,11'x4',Sbc,,"2.4 in, 15X",Y,Beautiful egn. Mottled oval disc has brt core + nucleus & resembles a small M-31.
193,7380,,oc + gn,CEP,22,47,n58,6,7.2,12',,125,10x50mm,Y,"Large, bright, fairly rich triangular shaped oc of large and small stars. V. nice."
194,7479,The Pegasus Barred Spiral,eg,PEG,23,4.9,n12,19,11,4.1'x3.2,SBc,,4 inch,Y,Famous backwards S galaxy shows shape in very lg. scopes. Has bright core.
195,7510,The Arrowhead Cluster,oc,CEP,23,11.5,n60,34,7.9,4.0',,75,"2.4 in, 15x",Y,"Nice oc! Sm., rich, w/ flared arrowhead shape. Brtest stars are at the tip. Lovely."
196,7606,,eg,AQR,23,19.1,s08,29,10.8,5.8'x2.6,Sb,,"3 in, 25X",Y,"Very nice egn, large, bright, highly oval w/ small, dim nucleus. (10 in.)"
197,7662,The Blue Snowball Nebula,pn,AND,23,25.9,n42,33,8.3,32x28,,,"2.4 in, 15X",Y,"Brt bl-grn pn has very brt inner ring set in a larger, fnter disc. (20 in.) Very beautiful."
198,7789,,oc,CAS,23,57,n56,44,6.7,16',,583,10x50mm,Y,"Large, very rich, round oc seems to be full of snakes! Easy in finder."
199,7793,,eg,SCL,23,57.8,s32,35,9.1,9.1'x6.6,Sd,,"3 in, 20X",,"Large, diffuse oval patch w/ dim nucleus. V. similar to a diffuse, periodic comet!"
200,7814,,eg,PEG,0,3.3,n16,9,10.5,6.3'x2.6,Sab,,"3 in, 25X",,Perfect edge-on egn has bright core. Dust lane seen only in v. lg. scopes (20 in.?).
