Col #	NGC/Other Cat.	Con	RA	DEC	m (v/p)	# Stars	Size	Class	n
302	Antares Cl.	Sco	16h 26m 00.0s	-26º 13' 00"	1.0v	20±	505	Neb	 
303	6134	Nor	16h 27m 46.5s	-49º 09' 04"	7.2v	45	6	Praes	 
304	6152	Nor	16h 32m 45.5s	-52º 38' 38"	8.1v	35	29	Praes	 
305	6167	Nor	16h 34m 34.9s	-49º 46' 19"	6.7v	40	7	Plei	 
306	6169	Nor	16h 34m 04.6s	-44º 02' 44"	6.6v	(40)	12	μNorm	 
307	 	Nor	16h 35m 20.0s	-51º 00' 00"	9.2v	22	5	Plei	 
308	6178	Sco	16h 35m 47.2s	-45º 38' 37"	7.2v	7	4	Plei	 
309	6192	Sco	16h 40m 23.8s	-43º 22' 00"	8.5v	25	7	Praes	 
310	6193	Ara	16h 41m 20.2s	-48º 45' 45"	5.2v	25	14	Plei	 
311	6200	Ara	16h 44m 07.3s	-47º 27' 45"	7.4v	40	12	Plei	 
312	6204	Ara	16h 46m 09.5s	-47º 01' 01"	8.2v	20	5	Praes	 
313	6208	Ara	16h 49m 28.1s	-53º 43' 42"	7.2v	40	15	Praes	 
314	6222	Sco	16h 49m 23.5s	-44º 43' 53"	10.1v	22	4	Praes	33
315	6231	Sco	16h 54m 10.9s	-41º 49' 27"	2.6v	(93)	14	Plei	 
316	 	Sco	16h 55m 30.0s	-40º 50' 00"	6.6v	60	105	Plei	34
317	6242	Sco	16h 55m 33.4s	-39º 27' 39"	6.4v	50	9	Praes	 
318	Tr.24	Sco	16h 57m 00.0s	-40º 40' 00"	8.6p	15	60	Plei	 
319	6249	Sco	16h 57m 41.5s	-44º 48' 43"	8.2v	18	6	Plei	 
320	6250	Ara	16h 57m 56.0s	-45º 56' 12"	5.9v	10	7	Plei	 
321	6253	Ara	16h 59m 05.1s	-52º 42' 32"	10.2v	25	5	Praes	 
322	6259	Sco	17h 00m 45.3s	-44º 39' 18"	8.0v	60	10	Praes	 
323	6268	Sco	17h 02m 10.3s	-39º 43' 42"	9.5v	22	6	Plei	 
324	6281	Sco	17h 04m 41.2s	-37º 59' 07"	5.4v	25	8	Plei	 
325	6318	Sco	17h 16m 11.5s	-39º 25' 30"	11.8v	20±	5	Praes	 
326	6322	Sco	17h 18m 25.7s	-42º 56' 02"	6.0v	12±	10	Plei	 
327	IC4651	Ara	17h 25m 14.0s	-49º 57' 35"	6.9v	65	10	Praes	 
328	6352	Ara	17h 25m 29.1s	-48º 25' 22"	7.8v	nl	7.1	Glob	35
329	Tr.25	Sco	17h 24m 48.0s	-30º 00' 00"	11.7p	18±	4	Plei	 
330	6355	Oph	17h 23m 58.5s	-26º 21' 13"	8.6v	nl	5	Glob	36
331	Tr.26	Oph	17h 28m 30.0s	-29º 29' 00"	9.5p	20	17	Plei	 
332	 	Sco	17h 30m 48.0s	-37º 05' 00"	8.9v	25	2	Plei	 
333	 	Sco	17h 31m 18.0s	-34º 05' 00"	9.8p	8	5	Plei	 
334	6374 (6383)	Sco	17h 34m 42.4s	-32º 34' 53"	5.5	10	2.5	Plei	37
335	6383	Sco	17h 34m 42.4s	-32º 34' 53"	5.5v	10	2.5	μNorm	37
336	Tr.27	Sco	17h 36m 12.0s	-33º 29' 00"	6.7v	15	6	Plei	 
337	Tr.28	Sco	17h 36m 48.0s	-32º 29' 00"	7.7v	22	12.5	Praes	 
338	 	Sco	17h 38m 06.0s	-37º 43' 12"	8.0v	20	20	Plei	 
339	6396	Sco	17h 37m 38.0s	-35º 01' 33"	8.5v	8	nl	Plei	38
340	6404	Sco	17h 39m 37.3s	-33º 14' 48"	10.6v	12	5	Plei	 
341	6405 (M6)	Sco	17h 40m 20.7s	-32º 15' 15"	4.2v	55	33	Plei	 
342	6400	Sco	17h 40m 12.7s	-36º 56' 52"	8.8v	25	12	Plei	 
343	Tr.29	Sco	17h 41m 36.0s	-40º 06' 00"	7.5p	22	9	Plei	 
344	6416	Sco	17h 44m 19.9s	-32º 21' 40"	5.7v	35	30	Plei	 
345	 	Sco	17h 44m 35.0s	-33º 52' 00"	10.9v	12	4.8	Plei	 
346	6426	Oph	17h 44m 54.6s	+03º 10' 13"	10.9v	nl	4.2	Praes	39
347	 	Oph	17h 46m 18.0s	-29º 20' 00"	8.8v	14	10	Plei	 
348	6425	Sco	17h 47m 01.6s	-31º 31' 46"	7.2v	25	15	Plei	 
349	IC4665	Oph	17h 46m 18.0s	+05º 43' 00"	4.2v	28	40	Plei	 
350	 	Oph	17h 48m 07.0s	+01º 21' 00"	6.1v	25	40	Plei	 
351	 	Sgr	17h 49m 04.0s	-28º 45' 00"	9.3v	22	8	Plei	 
352	6451	Sco	17h 50m 40.6s	-30º 12' 42"	8.2v	40	7	Praes	 
353	6469	Sgr	17h 53m 12.1s	-22º 16' 30"	8.2v	35	8	Plei	 
354	6475 (M7)	Sco	17h 53m 51.1s	-34º 47' 34"	3.3v	60	80	Plei	 
355	Tr.30	Sco	17h 56m 30.0s	-35º 19' 00"	8.8p	50	10	Plei	 
356	6494 (M23)	Sgr	17h 57m 04.7s	-18º 59' 07"	5.5v	85	30	Praes	 
357	Tr.31	Sgr	17h 59m 49.0s	-28º 10' 00"	9.8v	42	5	Plei	 
358	6507	Sgr	17h 59m 50.7s	-17º 27' 01"	9.6v	16	6	Plei	 
359	Melotte 186	Oph	18h 01m 06.0s	+02º 54' 00"	3.0v	15	240	Plei	 
360	6514	Sgr	18h 02m 20.9s	-23º 01' 38"	6.3v	40	30	Neb	 
361	6520	Sgr	18h 03m 25.1s	-27º 53' 28"	7.6v	20	6	Plei	 
362	6530	Sgr	18h 04m 31.0s	-24º 21' 29"	4.6v	20	14	Neb	 
363	6531 (M21)	Sgr	18h 04m 13.4s	-22º 29' 24"	5.9v	25±	13	Plei	 
364	6540	Sgr	18h 06m 08.5s	-27º 45' 55"	14.6v	nl	1.5	Praes	 
365	6546	Sgr	18h 07m 22.5s	-23º 17' 46"	8.0v	20	15	Praes	 
366	6544	Sgr	18h 07m 20.5s	-24º 59' 51"	7.5v	nl	8.9	Glob	41
367	 	Sgr	18h 09m 43.0s	-23º 39' 35"	6.4	10	40	Neb	 
368	6558	Sgr	18h 10m 18.3s	-31º 45' 49"	8.6v	nl	3.7	Praes	42
369	6568	Sgr	18h 12m 45.1s	-21º 34' 59"	8.6v	29	12	Plei	 
370	6583	Sgr	18h 15m 49.9s	-22º 08' 09"	10.0v	30±	5	Praes	 
371	6595	Sgr	18h 17m 16.0s	-19º 44' 30"	7.0v	12	4x3	Neb	43
372	Tr.32	SerCD	18h 17m 10.4s	-13° 20' 40"	12.2p	20	6	Praes	 
373	6604	SerCD	18h 18m 02.9s	-12º 14' 35"	6.5v	10±	4	μNorm	 
374	6603	Sgr	18h 18m 26.9s	-18º 24' 22"	11.1v	(100)	5	Praes	44
375	6611 (M16)	SerCD	18h 18m 48.1s	-13º 48' 26"	6.0v	30	21	Neb	 
376	6613 (M18)	Sgr	18h 19m 58.4s	-17º 06' 07"	6.9v	14	10	Plei	 
377	6618	Sgr	18h 21m 09.0s	-16º 10' 36"	6.0v	27	27	Neb	45
378	Tr.33	Sgr	18h 24m 42.0s	-19º 43' 00"	7.8v	10	6	Plei	 
379	6631	Sct	18h 27m 11.3s	-12º 01' 52"	11.7v	20±	7	Praes	 
380	6633	Oph	18h 27m 15.2s	+06º 30' 30"	4.6v	30	20	Plei	 
381	6642	Sgr	18h 31m 54.3s	-23º 28' 35"	8.9v	nl	5.8	Glob	46
382	IC4725 (M25)	Sgr	18h 31m 36.0s	-19º 15' 00"	4.6v	60	32	Praes	 
383	6645	Sgr	18h 32m 37.9s	-16º 53' 02"	8.5v	100	15	Praes	 
384	6649	Sct	18h 33m 27.9s	-10º 24' 10"	8.9v	15	5	Praes	 
385	6664	Sct	18h 36m 33.3s	-08º 13' 15"	7.8v	28	16	Praes	 
386	IC4756	Ser	18h 39m 00.0s	+05º 27' 00"	4.6v	120	52	Praes	 
387	Tr.34	Sct	18h 39m 48.0s	-08º 29' 00"	8.6v	20	7	Plei	47
388	Tr.35	Sct	18h 42m 54.0s	-04º 08' 00"	9.2v	25	9	Plei	 
389	6694 (M26)	Sct	18h 45m 18.6s	-09º 23' 01"	8.0v	18	14	Praes	 
390	6704	Sct	18h 50m 45.7s	-05º 12' 20"	9.2v	20	6	Plei	 
391	6705 (M11)	Sct	18h 51m 05.9s	-06º 16' 12"	5.8v	100±	13	Glob	48
392	6709	Aql	18h 51m 18.9s	+10º 19' 07"	6.7v	40	13	Praes	 
393	6716	Sgr	18h 54m 34.3s	-19º 54' 04"	7.5v	15	6	Plei	 
394	 	Sgr	18h 52m 28.0s	-20º 59' 28"	6.3v	22	22	Praes	 
395	6717	Sgr	18h 55m 05.9s	-22º 42' 06"	8.4v	nl	3.9	Glob	49
396	6738	Aql	19h 01m 21.5s	+11º 36' 56"	8.3v	20	15	Plei	 
397	6755	Aql	19h 07m 49.0s	+04º 15' 59"	7.5v	25	14	Plei	 
398	6756	Aql	19h 08m 42.5s	+04º 42' 21"	10.6v	(40)	4	Praes	 
399	4-5 Vul.	Vul	19h 25m 24.0s	+20º 11' 00"	3.6v	15	60	Plei	50
400	6802	Vul	19h 30m 35.0s	+20º 15' 39"	8.8v	201	5	Plei	 
401	 	Aql	19h 38m 24.0s	-00º 20' 00"	7p	8±	1	μNorm	 
402	6811	Cyg	19h 37m 17.9s	+46º 23' 20"	6.8v	40	12	Praes	 
403	6819	Cyg	19h 41m 18.0s	+40º 11' 12"	7.3v	929	5	Plei	 
404	6820	Vul	19h 42m 27.9s	+23º 05' 17"	14.9p	6	0.8	Neb	51
405	6823	Vul	19h 43m 09.8s	+23º 18' 00"	7.1v	13	12	Plei	 
406	6830	Vul	19h 50m 59.5s	+23º 06' 00"	7.9v	15	12	Plei	 
407	6834	Cyg	19h 52m 12.5s	+29º 24' 29"	7.8v	40	5	Praes	 
408	Harv.20	Sge	19h 53m 06.0s	+18º 20' 00"	7.7v	20	9	Plei	 
409	6838	Sge	19h 53m 46.1s	+18º 46' 42"	8.4v	150±	7.2	Glob	52
410	6846	Cyg	19h 56m 28.0s	+32º 20' 59"	14.2v	(40)	0.5	Plei	 
411	Mel.227	Oct	20h 17m 19.0s	-79º 02' 00"	5.3v	20	70	Plei	 
412	6866	Cyg	20h 03m 55.1s	+44º 09' 33"	7.6v	20	6	Plei	 
413	6871	Cyg	20h 05m 59.3s	+35º 46' 38"	5.2v	45	30	Plei	 
414	IC1311	Cyg	20h 10m 48.0s	+41º 11' 00"	13.1p	(60)	9	Glob	53
415	6883	Cyg	20h 11m 19.7s	+35º 49' 56"	8.0v	18	35	Plei	 
416	6882	Vul	20h 11m 55.8s	+26º 29' 20"	8.1v	20	20	Plei	54
417	6885	Vul	20h 11m 55.8s	+26º 29' 20"	8.1v	40	20	Plei	54
418	IC4996	Cyg	20h 16m 31.7s	+37º 38' 35"	7.3v	12	5	Plei	 
419	 	Cyg	20h 18m 06.0s	+40º 43' 00"	7.6v	16	4.5	μNorm	 
420	6910	Cyg	20h 23m 12.0s	+40º 46' 43"	7.4v	16	7	Plei	 
421	 	Cyg	20h 23m 18.0s	+41º 42' 00"	10.1p	20	5	Praes	 
422	6913 (M29)	Cyg	20h 23m 57.7s	+38º 30' 28"	6.6v	15	6	Plei	 
423	6939	Cep	20h 31m 30.1s	+60º 39' 44"	7.8v	40	7	Praes	 
424	6940	Vul	20h 34m 26.6s	+28º 16' 58"	6.3v	90	31	Praes	 
425	6996	Cyg	20h 56m 29.9s	+45º 28' 23"	10.0v	20	5	Neb	55
426	6994 (M73)	Aqr	20h 58m 55.9s	-12º 38' 08"	8.9v	(4)	2.8	Glob	56
427	 	Cep	20h 59m 30.0s	+68º 10' 00"	13.8v	6	4	Plei	 
428	 	Cyg	21h 03m 12.0s	+44º 35' 00"	8.7p	40	13	Neb	 
429	7023	Cep	21h 01m 35.5s	+68º 10' 11"	nl	nl	18	Neb	57
430	7031	Cyg	21h 07m 12.5s	+50º 52' 32"	9.1v	15	5	Plei	 
431	7039	Cyg	21h 10m 47.7s	+45º 37' 19"	7.6v	35	25	Plei	 
432	IC1369	Cyg	21h 12m 06.0s	+47º 44' 00"	8.8v	10	8	Plei	 
433	7044	Cyg	21h 13m 09.3s	+42º 29' 46"	12.0v	40	3.5	Praes	 
434	7062	Cyg	21h 23m 27.4s	+46º 22' 43"	8.3v	10	6	Praes	 
435	7063	Cyg	21h 24m 21.7s	+36º 29' 15"	7.0v	10	7	Plei	 
436	7067	Cyg	21h 24m 23.1s	+48º 00' 34"	9.7v	(47)	3	Praes	 
437	7086	Cyg	21h 30m 27.5s	+51º 36' 08"	8.4v	20	9	Praes	 
438	7092 (M39)	Cyg	21h 31m 48.3s	+48º 26' 55"	4.6v	22	31	Plei	 
439	IC1396	Cep	21h 39m 06.0s	+57º 30' 00"	3.5v	35	50	Plei	 
440	7128	Cyg	21h 43m 57.7s	+53º 42' 55"	9.7v	10	3.1	Plei	 
441	7129	Cep	21h 42m 58.9s	+66º 06' 47"	11.5p	7	7	Plei	 
442	7142	Cep	21h 45m 09.4s	+65º 46' 28"	9.3v	12	4.3	Plei	 
443	7160	Cep	21h 53m 40.2s	+62º 36' 12"	6.1v	16	7	Plei	 
444	7209	Lac	22h 05m 07.8s	+46º 29' 01"	7.7v	30	25	Praes	 
445	IC1434	Lac	22h 10m 30.0s	+52º 50' 00"	9.0p	30	7	Praes	 
446	7226	Cep	22h 10m 26.9s	+55º 23' 55"	9.6v	(83)	2	Praes	 
447	7235	Cep	22h 12m 24.9s	+57º 16' 17"	7.7v	12	4	Plei	 
448	7243	Lac	22h 15m 08.5s	+49º 53' 51"	6.4v	40	21	Plei	 
449	7245	Lac	22h 15m 11.5s	+54º 20' 33"	9.2v	(169)	5	Plei	 
450	7261	Cep	22h 20m 11.3s	+58º 07' 19"	8.4v	18	5	Plei	 
451	7296	Lac	22h 28m 02.8s	+52º 17' 21"	9.7v	10	3	Plei	 
452	7380	Cep	22h 47m 20.9s	+58º 07' 57"	7.2v	20	12	Plei	 
453	7419	Cep	22h 54m 20.0s	+60º 48' 56"	13.0v	(40)	6	Praes	 
454	7510	Cep	23h 11m 03.7s	+60º 34' 15"	7.9v	10±	7	Plei	 
455	7654 (M52)	Cas	23h 24m 50.4s	+61º 36' 24"	6.9v	35	16	Praes	 
456	7686	And	23h 30m 07.3s	+49º 08' 03"	5.6v	20	14	Plei	58
457	7762	Cep	23h 50m 01.7s	+68º 02' 17"	10.0p	(40)	15	Praes	 
458	Harv.21	Cas	23h 54m 06.0s	+61º 46' 00"	9.0p	10±	6	Plei	59
459	7788	Cas	23h 56m 45.5s	+61º 24' 00"	9.4v	15	4	Plei	 
460	7789	Cas	23h 57m 24.0s	+56º 42' 30"	6.7v	100	25	Praes	 
461	7790	Cas	23h 58m 24.2s	+61º 12' 30"	8.5v	18	5	Plei	 
462	189	Cas	00h 39m 35.7s	+61º 05' 40"	8.8v	(90)	5	Plei	 
463 (20a)	 	Cas	01h 48m 24.0s	+71º 57' 00"	nl	nl	nl	Plei	 
464 (60a)	 	Cam	05h 22m 00.0s	+73º 00' 00"	4.2p	nl	120	Plei	 
465 (127a)	 	Mon	07h 07m 12.0s	-10º 37' 00"	10.1p	nl	9	Praes	 
466 (127b)	 	Mon	07h 07m 18.0s	-10º 49' 00"	11.1p	(25)	4	Praes	 
467 (156a)	(Mel 72 per A/H)	Mon	07h 38m 29.0s	-10º 33' 00"	10.1v	(40)	5	Praes	15
468 (364a)	 	Sgr	18h 06m 36.0s	-27º 28' 00"	11v	8	0.9	Plei	 
469 (370a)	 	Sgr	18h 16m 33.0s	-18º 18' 34"	9.1v	(51)	2.6	Plei	 
470 (442a)	IC5146	Cyg	21h 53m 24.0s	+47º 16' 00"	7.2v	(110)	9	Neb	 
471 (444a)	 	Cep	22h 07m 06.0s	+72º 00' 00"	nl	nl	130	Plei	 
