Sharpless Index,Description
109,"Sharpless notes ""The great size and gross filamentary structure of this nebula set it apart from any known HII region ... Evidently this nebula cannot be considered to be a normal HII region"".When we look in the direction of Sh 2-109 we are looking straight down the Orion spur, the major Milky Way structure that also includes our own solar system.Sh 2-109 is not a single HII region but rather a complex of many HII regions visible in our line of sight, many of which are ionized by stars in several Cygnus OB associations connected to the Cygnus X complex of star formation regions.Some of the many nebulae that are part of this region can be seen here."
110,"This nebula, located far below the galactic plane, lies in the same direction as the high latitude HI shell Hu 8, which consists of about 1300 solar masses of gas, is about 900 thousand years old and lies at a distance of between 350-440 pc.This IRAS infrared image appears to show a faint bubble in this direction. Sh 2-110 appears as a bright spot at the edge of the bubble."
111,"Sh 2-111 can be seen clearly in this false colour hydrogen-alpha image as one of the brightest parts of a ridge of faint clouds below the Cygnus X region.There seems to be no significant references to this nebula in the scientific literature."
112,"The ionising star for this nebula is the O8V class multiple BD+45 3216 (SAO 49801).You can view an IPHAS image of this object here. Sh 2-112 is prominent in infrared as can be seen in this MSX image."
113,"Sh 2-113 and Sh 2-114 form, respectively, the southern and northern portions of a filamentary circle that resembles a supernova remnant. However, no supernova remnant appears to be recorded for this location.Examining this region in hydrogen-alpha suggests that these nebulae are joined to the equally mysterious Sh 2-118 and Sh 2-123 in a long ridge of nebulosity south and south-east of Sh 2-117, the North American nebula. Sh 2-113, Sh 2-118 and Sh 2-123 have distance estimates of about 4000 parsecs. If this ridge is also at 4000 parsecs, it must be enormous.This identical structure can be seen in more detail at the bottom left of this radio and far infrared image of the Cygnus region.You can view an image of both Sh 2-113 and Sh 2-114 together at the bottom of this page."
114,"Sh 2-113 and Sh 2-114 form, respectively, the southern and northern portions of a filamentary circle that resembles a supernova remnant. However, no supernova remnant appears to be recorded for this location.Examining this region in hydrogen-alpha suggests that these nebulae are joined to the equally mysterious Sh 2-118 and Sh 2-123 in a long ridge of nebulosity south and south-east of Sh 2-117, the North American nebula. Sh 2-113, Sh 2-118 and Sh 2-123 have distance estimates of about 4000 parsecs. If this ridge is also at 4000 parsecs, it must be enormous.This identical structure can be seen in more detail at the bottom left of this radio and far infrared image of the Cygnus region.You can view a very good optical image of Sh 2-114 here."
115,"This HII region lies in the same direction as the radio source W71 and is ionised by the O6 Ib supergiant LS III +46 12 which is part of the star cluster Berkeley 90. The cloud surrounding Berkeley 90 (part of which is visible as Sh 2-115) contains 4400 solar masses of gas and dust and is about 30 pc long.Infrared observations reveal a large, complex structure with multiple bubbles as can be seen in this MSX image. The nebula is also prominent at radio frequencies."
116,"Often described as the planetary nebula Abell 71, but a 1991 study by Paris Pismis and colleagues concluded that this object is actually an HII region.Curiously, Pismis' study appears to have been overlooked by other professional astronomers as Abell 71 continues to appear in lists of planetary nebula.The green glow next to it is probably a fault in the infrared photographic plate."
117,"Sh 2-117 is composed of the North American and Pelican nebulae, NGC 7000/IC 5070/IC 5067, which are visible through gaps in the Rift system of dusty giant molecular clouds that separates the Gould Belt from the Cygnus X complex. Sh 2-117 appears to be ionised by the O5V star 2MASS J20555125+4352246. This star is heavily obscured by the dust in the Lynds dark nebula LDN 935, a Rift cloud which lies at a distance of about 520 parsecs in front of Sh 2-117, and appears to divide the North American and Pelican nebulae.The radio source W80 appears in this direction. A 2009 paper concludes that W80 is generated only partly by Sh 2-117 and includes emission from 4 distinct sources located at different distances along the line of sight.Only a small part of this large and relatively close region appears in this image. You can see a better image of this huge nebula here."
118,"Sh 2-118 is one of the largest nebulae in apparent size in the Sharpless catalog, but essentially nothing about it has been published in the scientific literature.Examining this region in hydrogen-alpha suggests that Sh 2-118 is joined to the equally mysterious Sh 2-113, Sh 2-114 and Sh 2-123 in a long ridge of nebulosity south and south-east of Sh 2-117, the North American nebula. Sh 2-114, Sh 2-118 and Sh 2-123 have distance estimates of about 4000 parsecs. If this ridge is also at 4000 parsecs, it must be enormous."
119,"Sh 2-119 is located near the North American nebula (Sh 2-117, NGC 7000). Avedisova lists 6 ionising stars. The hottest of these is the O 7.5 III runaway star 68 Cygni (HD 203064), which was likely blasted out of the Cepheus OB2 association about 5.2 million years ago.It is also known as HS 240 = [GS55] 240. Good colour images of this nebula can be found here and here."
120,"A radio map of Sh 2-120 shows a shell-like structure around a central source. Very little information is available in the literature apart from this map. According to a 1978 study, Sh 2-120, Sh 2-121, Sh 2-127 and Sh 2-128 are all at about the same distance of 7500 parsecs and are ""probably distant HII regions associated with a spiral feature more distant than the Perseus arm"".Sh 2-120 appears behind the much closer dark nebula LDN 988, which has been informally called the Pincushion cloud."
121,"The HII region Sh 2-121 is surrounded by an expanding shell containing about 39 solar masses of gas. The shell is at least 650 thousand year old and is likely driven by stellar winds from an O8.5 class star.According to a 1978 study, Sh 2-120, Sh 2-121, Sh 2-127 and Sh 2-128 are all at about the same distance of 7500 parsecs and are ""probably distant HII regions associated with a spiral feature more distant than the Perseus arm"". A 2003 paper reduces the distance to Sh 2-121 to 4500 Â± 1000 parsecs, which could make it part of the Perseus arm."
122,"Sh 2-122 is likely a reflection nebula illuminated by an embedded but unseen star and associated with the molecular cloud MBM 55, at a distance of 150 pc.A good image of this nearby object can be found here."
123,"Examining this region in hydrogen-alpha suggests that Sh 2-123 is joined to the equally mysterious Sh 2-113, Sh 2-114 and Sh 2-118 in a long ridge of nebulosity south and south-east of Sh 2-117, the North American nebula. Sh 2-114, Sh 2-118 and Sh 2-123 have distance estimates of about 4000 parsecs. If this ridge is also at 4000 parsecs, it must be enormous."
124,"Although very little appears in the scientific literature on the mysterious HII region Sh 2-124, located some distance to the west of the Cep OB1 association, recent detailed hydrogen-alpha imaging done for the IPHAS project reveals the structure of this violin-shaped nebula in spectacular detail.Infrared imaging from MSX reveals a bubble in this direction.Felli and Harten give a list of 5 ionising stars, including the O7.5 class LS III +50 28, and support the BFS distance estimate of 2600 parsecs. However, other sources argue that this star may be too cool to be the ionising star.Chini and Wink identify two uncatalogued ionising stars, with classes O7V and B2V, and give a distance estimate of 3600 parsecs. Crampton, Georgelin and Georgelin give a kinematic distance (based on gas velocity) of 4400 parsecs."
125,"The Cocoon nebula is associated with the star cluster IC 5146 and is ionised by the B0 V class star BD +46 3474 according to Avedisova.This Astronomy Picture of the Day page contains a good large image and links for more information."
126,"This relatively close HII region is also called the 10 Lacertae complex after its ionising star, the O9 V multiple star 10 Lacertae, which forms the core of the Lac OB1 association. The nebula also contains the young Orion type variable emission star LkHA 233."
127,"Radio analysis reveals that Sh 2-127 consists of two distinct components - a larger weaker and more diffuse source (WB89 85A) to the northeast, consistent with ionisation by an O7 class star, and a stronger but smaller source to the southwest (WB89 85B), consistent with ionisation by an O8.5 class star. (However, it is also possible that both components are ionised by a single star.) Both components are located near the northwestern edge of a molecular cloud and are embedded in the molecular gas.According to a 1978 study, Sh 2-120, Sh 2-121, Sh 2-127 and Sh 2-128 are all at about the same distance of 7500 parsecs and are ""probably distant HII regions associated with a spiral feature more distant than the Perseus arm""."
128,"This one million year old HII region is ionised by an O7 star.According to a 1978 study, Sh 2-120, Sh 2-121, Sh 2-127 and Sh 2-128 are all at about the same distance of 7500 parsecs and are ""probably distant HII regions associated with a spiral feature more distant than the Perseus arm""."
129,"Sharpless notes that this large faint nebula is part of the Cep OB2 association and the Cepheus bubble. Avedisova lists 5 B-class ionising stars.Sometimes called the Flying Bat nebula. This image only shows part of this nebula."
130,"This appears to be a reflection nebula.Faint nebulosity surrounds the B5 star HD 197911, the A0 star HD 197809 and the G5 star SAO 18999. HD 197911 is a runaway star blasted from the heart of the Cep OB2 association by a supernova explosion 2-3 million years ago."
131,"Sh 2-131 surrounds the star cluster IC 1396 (also called Trumpler 37, including the O6 multiple HD 206267) and lies in the edge of the Cepheus bubble, the giant expanding shell of gas and dust surrounding the Cep OB2 association.This image only shows a portion of this large nebula. You can see a much better image of Sh 2-131 here, and an image of a famous globule within Sh 2-131, the Elephant Trunk nebula (IC 1396a) here.Sh 2-131 appears at the lower right of the much larger Cepheus bubble as seen in this infrared IRAS image."
132,"This giant HII region, which I call the Dragon nebula, is ionised by two WR stars (WR 152 and WR 153) and OB stars in several embedded clusters. WR 153 and an O 8.5 star lie near the middle of the radio shell associated with this nebula.Available distance estimates locate Sh 2-132 in the Cep OB1 association within the Perseus arm.This nebula is also prominent in radio and infrared images."
133,"Sh 2-133 is probably a part of a chain of ionized arcs surrounding the older group of the Cep OB2 association and is part of the Cepheus bubble."
134,"This HII region is associated with an expanding bubble surrounding Cep OB2. Also associated with this bubble are the HII regions IC 1396 (also called Sh 2-131), Sh 2-129, Sh 2-133, and Sh 2-140.Avedisova concludes that the 40 solar mass O6 Iab supergiant Lam Cep (HD 210839) is the exciting star for Sh 2-134. You can read about the controversy around the origin of this great Milky Way beacon star in the Cep OB2 section of the Clamshell (110Â° - 100Â°) sector portion of the Commentary on the Galactic Plane."
135,"This nebula appears to be a blister on a dark dust cloud in front of the bright arc. The nebula is ionised by the O9.5V class BD+57 2513 and includes the star cluster Juchert 21."
136,"This is a Bok globule, not an HII region. New stars are forming nside the glowing globule, [CB88] 230, within the Lynds dark nebula LDN 1177.Another image of this object can be found here."
137,"This HII region lies at a similar direction and distance as the Cepheus Bubble, a huge expanding shell of gas and dust surrounding the Cep OB2 association.Avedisova identifies 5 ionising stars. The hottest of these is the O9.5 II multiple giant HD 207198."
138,"Embedded in this compact HII region is a large star cluster resembling the Orion Trapezium cluster: it is centrally peaked around several massive stars, and is dense - more than 550 stars at its centre."
139,"According to Avedisova, Sh 2-139 is ionised by two giant stars: LS III +57 38 (O9 III) and LS III +58 37 (B2 III). SIMBAD disagrees with the spectral classification of LS III +57 38, however, and gives it a much cooler spectral class of B5.You can view an IPHAS hydrogen-alpha image of Sh 2-139 here."
140,"Sh 2-140 is part of the Cepheus Bubble, the expanding shell of gas and dust surrounding the Cep OB2 association. The bright rim is created by the B0.5 V double star HD 211880 ionising a Bok globule located within the southwest side of the LDN 1204 molecular cloud.Avedisova identifies three other potential ionising stars, including the O7 V star BD +62 2078. She places Sh 2-140 into the massive star formation region SFR 106.75+5.30, and lists 79 components, including 7 masers and the dark nebulae LDN 1204 and LDN 1206.A good image of Sh 2-140 can be found here."
141,"The faint circular HII region Sh 2-141 lies far away with distance estimates of about 7-8000 parsecs and may be ionised by a single O8 class star."
142,"This HII region, entwined with the star cluster NGC 7380, contains 4000 solar masses of gas and is ionised by the eclipsing binary star DH Cephei (O6+O6). According to a 1994 paper, Sh 2-142 is associated with a molecular cloud containing an additional 6-15 thousand solar masses of gas and is part of the Cep OB1 association.Avedisova adds a second ionising star, the B0 Ib supergiant HD 215806.This beautiful nebula has sometimes been called the Wizard nebula. However, its scalloped edges suggest more of a clamshell to me than a wizard!A very different wider scale image of the same nebula can be found here. You can also see infrared version here and a radio version here."
143,"According to Avedisova, the faint small nebula Sh 2-143 is ionised by the O9.5V star LS III +57 93."
144,"Both Sh 2-144 and Sh 2-146 appear in the direction of the 377 thousand solar mass molecular cloud [UUT2000] Cloud B. Sh 2-144 appears to lie well in front of this cloud, however, and is associated with the local Cepheus clouds.No ionising star for Sh 2-144 has been identified in the scientific literature. Avedisova associates this nebula with the pulsating variable carbon star MV Cep in star formation region 107.66+0.82."
145,"Avedisova identifies 4 ionising stars for Sh 2-145, including two O-stars: the O7 V star BD +62 2078 and the O9 V multiple star HD 213023.Sh 2-145 appears to be part of the Cepheus bubble, the expanding ring of gas and dust surrounding the star cluster NGC 7160 and the Cep OB2 association. The much brighter nebula Sh 2-131 is part of the same structure."
146,"This HII region is split in half by a dust cloud and is ionised by a highly obscured O7 star. It contains the infrared cluster [BDS2003] 34 and appears in the direction of the 377 thousand solar mass molecular cloud [UUT2000] Cloud B."
147,"Avedisova combines Sh 2-147, Sh 2-148 and Sh 2-149 into the star formation region SFR 108.27-1.07, which is ionised by two uncatalogued O8 V and B0 V stars and includes the star cluster King 10 and the young stellar object 2MASX J22555978+5814424.Sh 2-147, Sh 2-148, and Sh 2-149 form one of the two cores of the 105 thousand solar mass molecular cloud [UUT2000] Cloud A. (The other core is associated with Sh 2-152 and Sh 2-153.) This molecular cloud may be interacting with the supernova remnant SNR G109.1-01.0 (CTB 109).The molecular cloud can be seen in this MSX infrared image. The same field at radio frequencies reveals the supernova remnant."
148,"The young dusty HII region Sh 2-148 is ionised by uncatalogued O8 V and B2 V stars according to Pismis.Avedisova combines Sh 2-147, Sh 2-148 and Sh 2-149 into the star formation region SFR 108.27-1.07, which is ionised by two uncatalogued O8 V and B0 V stars and includes the star cluster King 10 and the young stellar object 2MASX J22555978+5814424.Sh 2-147, Sh 2-148, and Sh 2-149 form one of the two cores of the 105 thousand solar mass molecular cloud [UUT2000] Cloud A. (The other core is associated with Sh 2-152 and Sh 2-153.) This molecular cloud may be interacting with the supernova remnant SNR G109.1-01.0 (CTB 109).The molecular cloud can be seen in this MSX infrared image. The same field at radio frequencies reveals the supernova remnant."
149,"Avedisova combines Sh 2-147, Sh 2-148 and Sh 2-149 into the star formation region SFR 108.27-1.07, which is ionised by two uncatalogued O8 V and B0 V stars and includes the star cluster King 10 and the young stellar object 2MASX J22555978+5814424.Sh 2-147, Sh 2-148, and Sh 2-149 form one of the two cores of the 105 thousand solar mass molecular cloud [UUT2000] Cloud A. (The other core is associated with Sh 2-152 and Sh 2-153.) This molecular cloud may be interacting with the supernova remnant SNR G109.1-01.0 (CTB 109).The molecular cloud can be seen in this MSX infrared image. The same field at radio frequencies reveals the supernova remnant."
150,"Avedisova identifies two B-class ionising stars, HD 213087 and HD 213405.You can see a beautiful photograph of this faint nebula here.Sh 2-150 appears to be part of the Cepheus bubble, the expanding ring of gas and dust surrounding the star cluster NGC 7160 and the Cep OB2 association. The much brighter nebula Sh 2-131 is part of the same structure."
151,"Five molecular clouds are part of the Sh 2-151 complex and have a total of 29 thousand solar masses. About 700 solar masses has been ionised by an unseen star that is likely obscured by dust in one of the molecular clouds.A fuzzy but interesting image that shows the molecular cloud structure of Sh 2-151 can be seen in this MSX infrared image here. This image is very similar to the radio image shown in figure 2a of this 1998 paper."
152,"The adjacent HII regions Sh 2-152 and Sh 2-153 appear to be physically related, with a major source of the ionising radiation being located in the brighter Sh 2-152 in an unnamed O9V star.Avedisova combines Sh 2-152 and Sh 2-153 into the star formation region SFR 108.78-0.94, which also contains 7 masers including well studied ones such as V* V627 Cas and SH 2-152 SE. Sh 2-252 also contains the infrared cluster [BDS2003] 36.Sh 2-152 and Sh 2-153 form one of the two cores of the 105 thousand solar mass molecular cloud [UUT2000] Cloud A. (The other core is associated with Sh 2-147, Sh 2-148, and Sh 2-149.) This molecular cloud may be interacting with the supernova remnant SNR G109.1-01.0 (CTB 109)."
153,"The adjacent HII regions Sh 2-152 and Sh 2-153 appear to be physically related with Sh 2-153 being the larger and fainter nebula in the image and a major source of the ionising radiation being located in the brighter Sh 2-152 in an unnamed O9V star.Avedisova combines Sh 2-152 and Sh 2-153 into the star formation region SFR 108.78-0.94, which also contains 7 masers including well studied ones such as V* V627 Cas and SH 2-152 SE.Sh 2-152 and Sh 2-153 form one of the two cores of the 105 thousand solar mass molecular cloud [UUT2000] Cloud A. (The other core is associated with Sh 2-147, Sh 2-148, and Sh 2-149.) This molecular cloud may be interacting with the supernova remnant SNR G109.1-01.0 (CTB 109)."
154,"Sh 2-154 is ionised by the B0 III giant LS III +60 28, according to Avedisova. She places the nebula in the star formation region SFR 108.96+1.59 along with a molecular cloud. According to a 2000 paper, radiation from stars associated with Sh 2-154 may be accelerating a giant molecular cloud that appears to contain 700 solar masses of carbon monoxide and perhaps 10 thousand solar masses in total viral mass."
155,"The Cave nebula interacts with the Cepheus B molecular cloud and is ionised by stars that belong to the Cep OB3 association. Sharpless lists 9 potential ionising stars, including the B0 class HD 217086. SIMBAD says that this object is actually a O7 Vn class young stellar object with multiple components.Avedisova places Sh 2-155 in the massive star formation region SFR 110.15+2.61 and lists 157 components, including 24 masers, 48 infrared sources and the dark nebulae LDN 1211 and LDN 1216.You can read more about the history of star formation in this region in the Cep OB3 section of the description of the Brain and Bubble (120Â° - 110Â°) sector in the Commentary on the Galactic Plane.A good image of this nebula can be found here. You can also view an interesting false colour MSX 8 Î¼m infrared image of this region here."
156,"Also called IC 1470, this HII region is part of the star cluster NGC 7510 according to Avedisova. It appears to be ionised by a single O7 class star. The bright core is only one of five distinct and apparently independent emission sources within a giant molecular cloud.Avedisova places Sh 2-156 in star formation region 110.12+0.04 with 35 components, including 7 masers, the reflection nebulae [SS62] 71 and PP 104 and the HII regions BFS 15 and BFS 16.Russeil expands this star formation region and adds the HII regions BFS 14, BFS 17 and BFS 18 as well."
157,"The northern portion of Sh 2-157 (Sim 13, sometimes known as Sh 2-157a) is a ring nebula around the Wolf-Rayet star WR 157, in the Basel 3 star cluster that is in turn part of the Cas OB2 association. The southern portion of Sh 2-157 (Sim 14) may be ionised by stars not belonging to Basel 3.Sh 2-157b is an ultracompact HII region visible within the more diffuse Sh 2-157a nebula.Avedisova lists 4 additional ionising stars for Sh 2-157 (besides WR 157). These include the O7 I supergiant BD+59 2673.The MSX infrared results reveal a very complex structure in this direction as can be seen in this image.You can see a detailed false-colour visual light image here."
158,"This is NGC 7538, a major star formation region in the Cas OB2 association. It is surrounded by the much larger diffuse nebula Sh 2-161B.The main ionising star for this nebula is the O7 V star [WBN74] NGC 7538 IRS 6, but it includes several other O-stars as well.Avedisova places Sh 2-158 in star formation region 111.54+0.82 with 101 components including 15 masers and the young stellar object NGC 7538 IRS 9.Russeil combines Sh 2-158 and Sh 2-159 into one star formation region. You can see the two nebulae embedded in the 595 thousand solar mass dust cloud [UUT2000] Cloud G in this MSX infrared image."
159,"Sh 2-159 appears to be ionised by the O9.5 class emission star [MO2001] 82.Russeil combines Sh 2-158 and Sh 2-159 into one star formation region. You can see the two nebulae embedded in the 595 thousand solar mass dust cloud [UUT2000] Cloud G in this MSX infrared image.All of these objects are part of the dusty Cas OB2 association.A wide area image that includes Sh 2-159 can be seen here."
160,"The HII region Sh 2-160 is located near or within the Cep OB3 association, which is part of the relatively nearby Cepheus molecular clouds, as can be seen on this face-on map. Sharpless lists three possible ionising stars including the B0 III giant HD 218323, which Humphreys assigns to Cep OB3.You can read more about the Cep OB3 association towards the bottom of the page describing the Brain and Bubble (120Â° - 110Â°) sector, which is part of the Commentary on the Galactic Plane.You can see a good image by Mel Martin of this nebula here."
161,"Sh 2-161 is a large diffuse nebula surrounding the much smaller (and better studied) Sh 2-158, which is visible in the bottom right of this image.The BFS catalog argues that Sh 2-161 is actually two distinct nebulae in the same line of sight, which they designate Sh 2-161a and Sh 2-161b. (Sharpless himself made no such distinction.)Curiously, however, the distance estimates given in the scientific literature for the two nebulae are almost identical despite the quite different velocities quoted for the gas in this direction."
162,"This is the Bubble nebula, NGC 7635, a circular shell around the O6.5 IIIf star BD +60Â°2522. The nebula also contains the infrared cluster [BDS2003] 44. You can see the faint nebulosity around the Bubble in this Astronomy Picture of the Day.The Bubble nebula is also bright at radio frequencies."
163,"According to Avedisova, this nebula is ionised by the O 9.5 V class star LSI +60 8. It contains the infrared cluster [BDS2003] 45.Russeil combines Sh 2-163, Sh-164 and Sh 2-166 into a single star formation region.The nebula can be seen as a faint ring in this MSX infrared image."
164,"According to Avedisova, this nebula is ionised by the B1 Ib supergiant LS I +59 10 which agrees with the class given by SIMBAD. Russeil also identifies it as the ionising star but gives a B0.2 II giant class.Russeil combines Sh 2-163, Sh-164 and Sh 2-166 into a single star formation region."
165,"Ionised by the B0 V star BD +61 +2494 and contains the infrared cluster [BDS2003] 46.This nebula has a prominent ring structure in infrared as can be seen in this MSX image."
166,"This faint nebula, ionised by the O9.5 V star BD +60 2607, forms part of the Cas OB5 supershell. Avedisova places it in the star formation region SFR 114.63-0.79 along with a water maser, the radio source KR 82 and the young stellar object Mol 160.Russeil combines Sh 2-163, Sh-164 and Sh 2-166 into a single star formation region.A recent Spitzer study concluded that Mol 160 is 3000 times more luminous than the sun, is accreting matter from a 220 solar mass dust cocoon and has not yet undergone hydrogen fusion."
167,"There is very little information in the scientific literature on this faint nebula. Sh 2-167 was previously listed as a planetary nebula but is now believed to be an HII region. It appears in the direction of a large expanding shell around Cas OB5, but the available distance estimates suggest that it may lie much further away in the Outer/Norma arm.The nebula can be seen in infrared in this MSX image."
168,"Avedisova concludes that the HII region Sh 2-168 is ionised by the O9 V star LS I +60 50. SIMBAD gives a slightly cooler B0 V spectral class. This is in the direction of an expanding shell surrounding Cas OB5.Avedisova places Sh 2-168 in the star formation region SFR 115.80-1.60 along with the radio source KR 84. The nebula includes the loose infrared cluster [BDS2003] 47 and the Herbig-Haro object GM 2-44.You can find a more detailed colour image here and a black and white hydrogen-alpha image created from IPHAS data using the process described here.This nebula is quite bright in infrared as this MSX 8Î¼m image reveals."
169,"A faint nebulosity near the direction of the much brighter Sh 2-168. Avedisova finds that it is ionised by the B0 III giant BD +59 2786."
170,"Sh 2-170 lies in the direction of the Cas OB5 supershell. There is some confusion about the designation of the ionising star.A 1995 paper concludes that the sole exciting star of Sh 2-170 is DM +63 2093, an O8 V star of 31 solar masses. Avedisova agrees on the star but gives a slightly cooler O9 V class. Curiously, SIMBAD gives a G5 spectral class for this star. Reed gives the name for the star in this location as LS I +64 11, which SIMBAD lists as the O9.5 multiple star BD +63 2093p. A 2004 paper agrees on the BD +63 2093p designation and agrees with Avedisova on the O9 V class. This paper also says that BD +63 2093p is a member of the small open cluster Stock 18 and estimates 910 +/- 90 solar masses for the hydrogen gas in the nebula.A wider view of this object can be found here."
171,"This expanding shell of gas and dust was created by the original star cluster at the heart of the Cep OB4 association, which has now dispersed. It is now lit and ionized by the young star cluster Berkeley 59 (forming the bright nebula called Cederblad 214) and it is expanding into the fainter diffuse nebula NGC 7822. Berkeley 59 is surrounded by another dark region of disturbed gas and dust containing the radio source W1.Avedisova lists 4 O-stars that ionise this nebula. The hottest of these is the O7 V BD +66 1675. She places Sh 2-171 in star formation region SFR 118.41+4.68 with 46 components, including 3 masers, 14 infrared sources and the dark nebula LDN 1271.A 2008 study adds a fifth ionising O-star to Berkeley 59, hotter than than any of the ones Avedisova identified. Spectographic analysis reveals that BD +66 1673 has a class of O5 V((f))n. The same study concludes that Berkeley 59 is 2 million years old. A second 2008 study agrees on the age and comments that Berkeley 59 has nine ionising stars in total (classes O-B3).There are more details on this nebula in the Cep OB4 section of the description of the Brain and Bubble (120Â° - 110Â°) sector of the Commentary on the Galactic Plane. You can also see the location of Cep OB4 and Sh 2-171 within the relatively nearby Cepheus molecular clouds on this face-on map. You can see a spectacular image of this region here and view the large shell surrounding the nebula in visual light and in this IRAS infrared image."
172,"Sh 2-172 contains the loose infrared cluster [BDS2003] 48.Russeil combines Sh 2-172, Sh 2-173 and Sh 2-177 into one star formation region and comments that no stellar distance is known for Sh 2-172. All three nebulae lie in the direction of the expanding shell of gas and dust surrounding the Cas OB5 association."
173,"Russeil combines Sh 2-172, Sh 2-173 and Sh 2-177 into one star formation region. All three nebulae lie in the direction of the expanding shell of gas and dust surrounding the Cas OB5 association.Russeil identifies 7 possible ionising stars for Sh 2-173, the hottest of which is the O9 V star ALS 6151 (BD +60 39). Avedisova associates Sh 2-173 with the star cluster NGC 103, the radio source KR 98, and the dark nebula LDN 1282.Sh 2-173 appears to be on the edge of the HI shell GSH 117.8+1.5-35 associated with Cas OB5.You can view detailed IPHAS hydrogen-alpha images of this nebula here."
174,"The former central star of this old planetary nebula, the white dwarf GD 561, has drifted to the outside of the nebula.A good image of this nebula can be found here."
175,"Sh 2-175 appears in the direction of a supershell of molecular and atomic hydrogen clouds surrounding the Cas OB5 association, which is part of the Perseus arm. A widely varying range of distances to this nebula and its potential ionising star has been published in the scientific literature.Avedisova gives the ionising star of Sh 2-175 as LS I +64 26 (O9.5 V), which Humphreys lists as a field star outside of any OB association. Russeil concludes that LS I +64 26 is actually a B1.5 V star at 1090 +/- 210 parsecs and locates Sh 2-175 at this much closer distance.You can read more about this region (with full references) in this galactic plane commentary."
176,"This is a planetary nebula. The central star is a blue subdwarf.You can find a good image of this nebula here."
177,"Sharpless and Avedisova both conclude that Sh 2-177 is ionised by the O9 V star BD +61 105.Russeil combines Sh 2-172, Sh 2-173 and Sh 2-177 into one star formation region. All three nebulae lie in the direction of the expanding shell of gas and dust surrounding the Cas OB5 association. You can view a good image of this irregular diffuse nebula here."
178,"There is very little in the scientific literature about this huge faint nebula located in a direction that is well above the galactic plane.Sh 2-178 is associated with the giant molecular cloud known as the Polaris Flare. The region's overall nebulosity does not derive from hydrogen-alpha emission in the region itself but instead from dusty cirrus clouds that reflect the light of the Milky Way.The nebula is visible at both radio and infrared frequencies. It is perhaps best seen in context as the brightest portion of a huge atomic hydrogen (HI) loop (GIRL G134+34) seen in this image. The loop is also visible in infrared in this IRAS image. In both cases, Sh 2-178 is the large emission region at the right.The star in the image is the K2 III giant HD 5848, which has a Hipparcos distance of only 96 parsecs, so presumably it is a foreground star unrelated to the nebula."
179,"This is the planetary nebula PN BV 5-2 (sometimes designated PN BV-2)."
180,"Sh 2-180 is visible in the direction of the Perseus arm Cas OB7 association, but a distance estimate based on CO velocity places it much further away in the Norma/Outer arm.Avedisova also locates it at a large distance and concludes that it is ionised by the O7.5V star LS I +62 139.The filaments visible in this image, more characteristic of a close supernova remnant than a distant HII region, suggests that this region may deserve deeper investigation."
181,"Radio observations and modelling suggest that Sh 2-181 is an HII region ionised by a B0 to B0.5 class star. A 1978 paper identifies the ionising star as the B1 V class LS I +64 47. The nebula is connected to the Cas OB7 association in the Perseus arm."
182,"Avedisova suggests that Sh 2-182 is ionised by the B3 Ia supergiant HD 4694.More recent studies, however, conclude that Sh 2-182 appears to be a reflection nebula (not an HII region) and may be associated with the infrared source and protoplanetary nebula IRAS 00470+6429."
183,"This is an apparently large and distant HII region that is obscured by foreground dust. It consists of 44 thousand solar masses of ionised gas and is at least 3.9 million years old. The stars ionising the gas are unknown and are probably obscured by the foreground dust.Avedisova locates Sh 2-183 in star formation region SFR 123.20+2.83, with 16 components, including a water maser and 8 infrared sources. One of these infrared sources is the young stellar object IRAS 00468+6527.This object shows an extended irregular structure at radio frequencies as this 2.7 GHz image taken with the Effelsberg 100m radio telescope reveals.I've used IPHAS hydrogen-alpha data to create a black and white image of this highly obscured nebula here.Sh 2-183 is visible as a diffuse nebula bordered by more compact emission sources in this IRAS infrared image.If this object is really located at 7000 parsecs, then the size in the radio image suggests that it may be one of the largest star formation regions in the outer galaxy. Note, however, that streaming motions in the Perseus arm can result in exaggerated distance estimates if velocity data is used alone to determine an object's distance (and the current distance estimate is, indeed, based on gas velocity)."
184,"Often called NGC 281, this bright nebula located far below the galactic plane is also nicknamed the Pac Man nebula by amateur astronomers after a 1980s-era video game character. IC 1590, the star cluster at the heart of the nebula, is about 3.5 million years old. The core of the star cluster IC 1590 is the trapezium system HD 5005, which ionises NGC 281 and contains an O5.5 class star.The distance to NGC 281 has been accurately measured via radio parallax as 2820 +/- 240 pc.It is highly unusual to find such a prominent nebula so far below the galactic plane and there is some evidence that it is on the edge of a superbubble that has blown out of the galactic plane, perhaps because of multiple supernova explosions.This nebula is often the subject of astrophotographers and there are many beautiful images of it on the Internet. One interesting false-colour version was Astronomy Picture of the Day.You can see a view of this nebula in infrared taken by the WISE satellite here."
185,"Sh 2-185 consists of a pair of nebulae, IC 59 and IC 63, that according to Sharpless and other authorities is ionised and illuminated by the B0 IVpe subgiant Gamma Cassiopeiae. It is a combination of a reflection nebula and HII region.Sh 2-185 lies in front of the Perseus arm Cas OB1 association as can be seen in this image but is much closer.A much better image of Sh 2-185 can be found here."
186,"Avedisova says that Sh 2-186 is ionised by the B0 III giant Hiltner 102 and is part of the Cas OB7 association. It contains the infrared cluster [BDS2003] 51."
